id,nama,email,usia,pendapatan,kota
1,Pelanggan-1,user0@mail.com,37,2201532,Jakarta
2,Pelanggan-2,user1@mail.com,54,7115390,Yogyakarta
3,Pelanggan-3,user2@mail.com,78,3614833,Surabaya
4,Pelanggan-4,user3@mail.com,28,4885067,Jakarta
5,Pelanggan-5,user4@mail.com,16,-1,Bali
6,Pelanggan-6,user5@mail.com,18,6780831,Bandung
7,Pelanggan-7,user6@mail.com,23,2802333,Jakarta
8,Pelanggan-8,user7@mail.com,30,-1,Yogyakarta
9,Pelanggan-9,user8@mail.com,46,4979934,Surabaya
10,Pelanggan-10,user9@mail.com,41,3308711,Bali
11,Pelanggan-11,user10@mail.com,29,3905868,Jakarta
12,Pelanggan-12,user11@mail.com,39,4999848,Jakarta
13,Pelanggan-13,user12@mail.com,29,3158706,Jakarta
14,Pelanggan-14,user13invalid,26,5336468,Jakarta
15,Pelanggan-15,user14@mail.com,38,5990361,Bandung
16,Pelanggan-16,user15@mail.com,55,-1,Jakarta
17,Pelanggan-17,user16@mail.com,74,3971519,Bandung
18,Pelanggan-18,user17@mail.com,45,4416540,Bali
19,Pelanggan-19,user18@mail.com,35,4970866,Bali
20,Pelanggan-20,user19@mail.com,74,5660347,Jakarta
21,Pelanggan-21,user20@mail.com,28,7012561,Bandung
22,Pelanggan-22,user21@mail.com,28,4308060,Bandung
23,Pelanggan-23,user22@mail.com,38,-1,Bandung
24,Pelanggan-24,user23@mail.com,39,6737710,Bali
25,Pelanggan-25,user24@mail.com,42,2596126,Bali
26,Pelanggan-26,user25@mail.com,32,-1,Surabaya
27,Pelanggan-27,user26@mail.com,71,4058428,Bali
28,Pelanggan-28,user27@mail.com,56,8674068,Yogyakarta
29,Pelanggan-29,user28@mail.com,26,-1,Jakarta
30,Pelanggan-30,user29@mail.com,50,6648084,Jakarta
31,Pelanggan-31,user30invalid,31,5207136,Bali
32,Pelanggan-32,user31@mail.com,57,2642126,Bandung
33,Pelanggan-33,user32@mail.com,54,2550941,Jakarta
34,Pelanggan-34,user33@mail.com,36,7017301,Bali
35,Pelanggan-35,user34@mail.com,78,4035269,Surabaya
36,Pelanggan-36,user35@mail.com,24,7159592,Yogyakarta
37,Pelanggan-37,user36@mail.com,20,-1,Yogyakarta
38,Pelanggan-38,user37@mail.com,31,4647417,Surabaya
39,Pelanggan-39,user38@mail.com,77,176355,Bali
40,Pelanggan-40,user39@mail.com,64,4050043,Jakarta
41,Pelanggan-41,user40@mail.com,39,5469375,Bali
42,Pelanggan-42,user41@mail.com,47,7851849,Bali
43,Pelanggan-43,user42@mail.com,15,-1,Yogyakarta
44,Pelanggan-44,user43@mail.com,31,-1,Surabaya
45,Pelanggan-45,user44@mail.com,57,-1,Yogyakarta
46,Pelanggan-46,user45@mail.com,72,-1,Bandung
47,Pelanggan-47,user46@mail.com,33,5598696,Yogyakarta
48,Pelanggan-48,user47@mail.com,68,4831365,Bali
49,Pelanggan-49,user48@mail.com,15,5185513,Surabaya
50,Pelanggan-50,user49@mail.com,30,5305030,Surabaya
51,Pelanggan-51,user50@mail.com,38,-1,Jakarta
52,Pelanggan-52,user51@mail.com,78,3478112,Bandung
53,Pelanggan-53,user52@mail.com,72,10533206,Bandung
54,Pelanggan-54,user53@mail.com,38,4892781,Bandung
55,Pelanggan-55,user54@mail.com,72,5100443,Bali
56,Pelanggan-56,user55@mail.com,78,-1,Jakarta
57,Pelanggan-57,user56@mail.com,55,-1,Bandung
58,Pelanggan-58,user57@mail.com,47,2781538,Jakarta
59,Pelanggan-59,user58@mail.com,72,-1,Yogyakarta
60,Pelanggan-60,user59@mail.com,70,3406189,Bandung
61,Pelanggan-61,user60@mail.com,29,3805948,Yogyakarta
62,Pelanggan-62,user61@mail.com,79,2759173,Jakarta
63,Pelanggan-63,user62@mail.com,26,-1,Surabaya
64,Pelanggan-64,user63@mail.com,49,-1,Surabaya
65,Pelanggan-65,user64@mail.com,51,-1,Surabaya
66,Pelanggan-66,user65invalid,44,4729273,Yogyakarta
67,Pelanggan-67,user66@mail.com,25,4640822,Bali
68,Pelanggan-68,user67@mail.com,74,4673128,Surabaya
69,Pelanggan-69,user68@mail.com,46,5661633,Bali
70,Pelanggan-70,user69@mail.com,16,8037259,Surabaya
71,Pelanggan-71,user70invalid,24,3350998,Yogyakarta
72,Pelanggan-72,user71@mail.com,60,-1,Yogyakarta
73,Pelanggan-73,user72@mail.com,36,7857327,Bandung
74,Pelanggan-74,user73@mail.com,69,3391775,Yogyakarta
75,Pelanggan-75,user74invalid,73,6030634,Yogyakarta
76,Pelanggan-76,user75@mail.com,44,3087218,Bandung
77,Pelanggan-77,user76@mail.com,67,4605792,Surabaya
78,Pelanggan-78,user77@mail.com,35,6129839,Yogyakarta
79,Pelanggan-79,user78@mail.com,34,8425595,Yogyakarta
80,Pelanggan-80,user79@mail.com,53,5687907,Bali
81,Pelanggan-81,user80@mail.com,49,5142109,Jakarta
82,Pelanggan-82,user81@mail.com,43,6412466,Yogyakarta
83,Pelanggan-83,user82@mail.com,70,2936466,Jakarta
84,Pelanggan-84,user83@mail.com,69,-1,Surabaya
85,Pelanggan-85,user84@mail.com,67,2787228,Bandung
86,Pelanggan-86,user85@mail.com,62,-1,Surabaya
87,Pelanggan-87,user86@mail.com,69,5733464,Bali
88,Pelanggan-88,user87invalid,46,-1,Yogyakarta
89,Pelanggan-89,user88@mail.com,72,7047811,Surabaya
90,Pelanggan-90,user89@mail.com,42,4579887,Bandung
91,Pelanggan-91,user90@mail.com,74,8631304,Jakarta
92,Pelanggan-92,user91@mail.com,27,4494499,Surabaya
93,Pelanggan-93,user92@mail.com,32,-1,Bali
94,Pelanggan-94,user93@mail.com,65,4205030,Yogyakarta
95,Pelanggan-95,user94@mail.com,64,-1,Yogyakarta
96,Pelanggan-96,user95@mail.com,57,4989792,Bali
97,Pelanggan-97,user96@mail.com,60,-1,Bali
98,Pelanggan-98,user97@mail.com,38,-1,Jakarta
99,Pelanggan-99,user98@mail.com,19,3670441,Yogyakarta
100,Pelanggan-100,user99@mail.com,44,-1,Jakarta
101,Pelanggan-101,user100@mail.com,57,4288773,Jakarta
102,Pelanggan-102,user101@mail.com,67,-1,Surabaya
103,Pelanggan-103,user102@mail.com,38,-1,Bandung
104,Pelanggan-104,user103@mail.com,28,7121467,Bandung
105,Pelanggan-105,user104@mail.com,50,4053763,Surabaya
106,Pelanggan-106,user105@mail.com,40,3379022,Jakarta
107,Pelanggan-107,user106@mail.com,27,7923980,Surabaya
108,Pelanggan-108,user107@mail.com,35,6005444,Bandung
109,Pelanggan-109,user108@mail.com,54,4034774,Surabaya
110,Pelanggan-110,user109@mail.com,57,7034267,Yogyakarta
111,Pelanggan-111,user110@mail.com,73,8449190,Surabaya
112,Pelanggan-112,user111@mail.com,63,6561427,Jakarta
113,Pelanggan-113,user112@mail.com,61,4043528,Jakarta
114,Pelanggan-114,user113@mail.com,33,-1,Jakarta
115,Pelanggan-115,user114@mail.com,26,4630801,Jakarta
116,Pelanggan-116,user115@mail.com,50,527662,Bali
117,Pelanggan-117,user116@mail.com,47,4283959,Yogyakarta
118,Pelanggan-118,user117@mail.com,76,4543930,Surabaya
119,Pelanggan-119,user118invalid,55,4344471,Surabaya
120,Pelanggan-120,user119@mail.com,33,7025736,Yogyakarta
121,Pelanggan-121,user120@mail.com,45,2775271,Surabaya
122,Pelanggan-122,user121@mail.com,64,2491632,Bandung
123,Pelanggan-123,user122@mail.com,56,3448459,Surabaya
124,Pelanggan-124,user123@mail.com,31,7356114,Bandung
125,Pelanggan-125,user124@mail.com,20,5202933,Yogyakarta
126,Pelanggan-126,user125@mail.com,74,4156631,Bali
127,Pelanggan-127,user126@mail.com,33,5945549,Bandung
128,Pelanggan-128,user127@mail.com,72,6300309,Surabaya
129,Pelanggan-129,user128@mail.com,54,5592717,Surabaya
130,Pelanggan-130,user129@mail.com,59,6130793,Bandung
131,Pelanggan-131,user130@mail.com,56,-1,Surabaya
132,Pelanggan-132,user131@mail.com,38,2753143,Bali
133,Pelanggan-133,user132@mail.com,36,4179399,Bali
134,Pelanggan-134,user133@mail.com,67,3045438,Yogyakarta
135,Pelanggan-135,user134@mail.com,38,5504324,Jakarta
136,Pelanggan-136,user135invalid,39,6400157,Bali
137,Pelanggan-137,user136@mail.com,31,3511321,Bandung
138,Pelanggan-138,user137@mail.com,49,2958091,Surabaya
139,Pelanggan-139,user138@mail.com,70,5531047,Jakarta
140,Pelanggan-140,user139@mail.com,42,1950752,Bandung
141,Pelanggan-141,user140invalid,48,4142819,Jakarta
142,Pelanggan-142,user141@mail.com,79,5655983,Jakarta
143,Pelanggan-143,user142@mail.com,17,-1,Jakarta
144,Pelanggan-144,user143@mail.com,73,8443654,Bali
145,Pelanggan-145,user144@mail.com,70,6741795,Surabaya
146,Pelanggan-146,user145@mail.com,36,6219581,Jakarta
147,Pelanggan-147,user146@mail.com,56,4149847,Jakarta
148,Pelanggan-148,user147invalid,18,1449514,Yogyakarta
149,Pelanggan-149,user148@mail.com,26,1426946,Surabaya
150,Pelanggan-150,user149@mail.com,51,4695211,Bali
151,Pelanggan-151,user150@mail.com,55,2363912,Surabaya
152,Pelanggan-152,user151@mail.com,72,1136462,Bali
153,Pelanggan-153,user152@mail.com,77,7139837,Jakarta
154,Pelanggan-154,user153@mail.com,19,3181345,Surabaya
155,Pelanggan-155,user154@mail.com,31,3502345,Bali
156,Pelanggan-156,user155@mail.com,42,6135189,Surabaya
157,Pelanggan-157,user156@mail.com,41,5949796,Bandung
158,Pelanggan-158,user157@mail.com,67,-1,Surabaya
159,Pelanggan-159,user158@mail.com,40,1263000,Yogyakarta
160,Pelanggan-160,user159@mail.com,63,7232068,Yogyakarta
161,Pelanggan-161,user160@mail.com,74,3887519,Bali
162,Pelanggan-162,user161@mail.com,41,4250484,Yogyakarta
163,Pelanggan-163,user162@mail.com,52,3693884,Bali
164,Pelanggan-164,user163invalid,23,4692330,Jakarta
165,Pelanggan-165,user164@mail.com,46,5077825,Bali
166,Pelanggan-166,user165@mail.com,15,6055332,Surabaya
167,Pelanggan-167,user166@mail.com,23,4687453,Surabaya
168,Pelanggan-168,user167@mail.com,64,-1,Bandung
169,Pelanggan-169,user168@mail.com,51,5248454,Jakarta
170,Pelanggan-170,user169@mail.com,20,7364663,Yogyakarta
171,Pelanggan-171,user170@mail.com,51,6885532,Yogyakarta
172,Pelanggan-172,user171invalid,53,5406088,Jakarta
173,Pelanggan-173,user172@mail.com,18,-1,Surabaya
174,Pelanggan-174,user173@mail.com,63,3119017,Bali
175,Pelanggan-175,user174@mail.com,51,5993054,Bandung
176,Pelanggan-176,user175@mail.com,24,1844314,Surabaya
177,Pelanggan-177,user176invalid,22,3212868,Surabaya
178,Pelanggan-178,user177@mail.com,37,6757125,Bali
179,Pelanggan-179,user178@mail.com,77,6362769,Jakarta
180,Pelanggan-180,user179@mail.com,52,3833671,Bali
181,Pelanggan-181,user180@mail.com,34,6591742,Surabaya
182,Pelanggan-182,user181@mail.com,45,3724318,Surabaya
183,Pelanggan-183,user182@mail.com,44,3744745,Surabaya
184,Pelanggan-184,user183@mail.com,62,5398369,Bali
185,Pelanggan-185,user184@mail.com,24,7231341,Surabaya
186,Pelanggan-186,user185@mail.com,74,5612428,Surabaya
187,Pelanggan-187,user186invalid,23,4280699,Bandung
188,Pelanggan-188,user187@mail.com,72,5353980,Bandung
189,Pelanggan-189,user188@mail.com,46,-1,Surabaya
190,Pelanggan-190,user189@mail.com,30,3381454,Bandung
191,Pelanggan-191,user190@mail.com,26,8935538,Bandung
192,Pelanggan-192,user191@mail.com,49,-1,Jakarta
193,Pelanggan-193,user192@mail.com,61,815796,Jakarta
194,Pelanggan-194,user193@mail.com,31,2962993,Yogyakarta
195,Pelanggan-195,user194invalid,43,1445451,Jakarta
196,Pelanggan-196,user195@mail.com,71,4199300,Bali
197,Pelanggan-197,user196invalid,50,5312909,Bandung
198,Pelanggan-198,user197@mail.com,21,4768124,Yogyakarta
199,Pelanggan-199,user198@mail.com,33,7043196,Bandung
200,Pelanggan-200,user199@mail.com,42,6471693,Yogyakarta
201,Pelanggan-201,user200@mail.com,35,-1,Surabaya
202,Pelanggan-202,user201invalid,19,6230982,Jakarta
